mem_mib,k,rep,call_idx,call_time_ms
64,5,39,4,72.201548
64,5,39,5,70.769418
64,5,40,1,73.152031
64,5,40,2,74.151019
64,5,40,3,72.187337
64,5,40,4,72.183868
64,5,40,5,69.245675
64,5,41,1,72.819703
64,5,41,2,71.929610
64,5,41,3,69.963620
64,5,41,4,71.095789
64,5,41,5,72.123483
64,5,42,1,75.759936
64,5,42,2,71.699098
64,5,42,3,71.117669
64,5,42,4,71.787744
64,5,42,5,71.363674
64,5,43,1,70.731455
64,5,43,2,70.577738
64,5,43,3,70.438507
64,5,43,4,72.596691
64,5,43,5,72.330484
64,5,44,1,72.449012
64,5,44,2,73.937537
64,5,44,3,72.182808
64,5,44,4,70.280106
64,5,44,5,70.830051
64,5,45,1,71.949052
64,5,45,2,71.732203
64,5,45,3,70.814770
64,5,45,4,71.337776
64,5,45,5,70.706571
64,5,46,1,72.065169
64,5,46,2,71.191830
64,5,46,3,73.117605
64,5,46,4,71.690294
64,5,46,5,73.837490
64,5,47,1,71.032102
64,5,47,2,70.892118
64,5,47,3,71.642375
64,5,47,4,72.100200
64,5,47,5,71.521991
64,5,48,1,71.097226
64,5,48,2,71.707499
64,5,48,3,68.937531
64,5,48,4,70.387823
64,5,48,5,70.075871
64,5,49,1,72.215128
64,5,49,2,70.937636
64,5,49,3,71.862017
64,5,49,4,70.993965
64,5,49,5,71.255888
64,5,50,1,70.137573
64,5,50,2,69.981325
64,5,50,3,71.008687
64,5,50,4,71.804150
64,5,50,5,71.266018
64,10,1,1,73.705763
64,10,1,2,71.223117
64,10,1,3,69.960042
64,10,1,4,71.683965
64,10,1,5,70.223956
64,10,1,6,71.378080
64,10,1,7,72.571808
64,10,1,8,71.046962
64,10,1,9,72.160702
64,10,1,10,71.827432
64,10,2,1,72.192298
64,10,2,2,74.941045
64,10,2,3,71.226434
64,10,2,4,69.958308
64,10,2,5,73.902082
64,10,2,6,74.423353
64,10,2,7,71.838621
64,10,2,8,70.258057
64,10,2,9,74.006490
64,10,2,10,71.945646
64,10,3,1,72.001533
64,10,3,2,71.890391
64,10,3,3,70.903173
64,10,3,4,72.427249
64,10,3,5,72.276576
64,10,3,6,70.819851
64,10,3,7,71.157814
64,10,3,8,71.966499
64,10,3,9,72.330879
64,10,3,10,72.811051
64,10,4,1,72.687964
64,10,4,2,72.481357
64,10,4,3,70.948099
64,10,4,4,72.159112
64,10,4,5,71.467076
64,10,4,6,71.757242
64,10,4,7,72.015397
64,10,4,8,71.279201
64,10,4,9,71.262203
64,10,4,10,70.268392
64,10,5,1,71.930584
64,10,5,2,72.734112
64,10,5,3,71.216786
64,10,5,4,71.536258
64,10,5,5,72.404540
64,10,5,6,73.053347
64,10,5,7,71.536639
64,10,5,8,71.097093
64,10,5,9,71.076912
64,10,5,10,72.538272
64,10,6,1,71.760345
64,10,6,2,71.577799
64,10,6,3,72.814559
64,10,6,4,72.487388
64,10,6,5,72.648846
64,10,6,6,73.936796
64,10,6,7,72.485809
64,10,6,8,72.388741
64,10,6,9,72.735181
64,10,6,10,71.578772
64,10,7,1,72.393581
64,10,7,2,71.622125
64,10,7,3,72.536925
64,10,7,4,71.749302
64,10,7,5,72.430797
64,10,7,6,73.003215
64,10,7,7,72.422159
64,10,7,8,72.343782
64,10,7,9,73.131755
64,10,7,10,72.616691
64,10,8,1,72.133768
64,10,8,2,73.829027
64,10,8,3,72.131747
64,10,8,4,72.746534
64,10,8,5,72.452893
64,10,8,6,70.680458
64,10,8,7,74.962894
64,10,8,8,73.232182
64,10,8,9,71.444877
64,10,8,10,71.553194
64,10,9,1,72.998815
64,10,9,2,74.182260
64,10,9,3,70.643614
64,10,9,4,72.102030
64,10,9,5,72.150010
64,10,9,6,72.060180
64,10,9,7,72.241735
64,10,9,8,72.712075
64,10,9,9,70.228334
64,10,9,10,71.966608
64,10,10,1,72.360739
64,10,10,2,71.207503
64,10,10,3,72.636178
64,10,10,4,72.888267
64,10,10,5,71.676282
64,10,10,6,76.300717
64,10,10,7,73.546658
64,10,10,8,71.042310
64,10,10,9,72.229308
64,10,10,10,72.158198
64,10,11,1,71.272037
64,10,11,2,71.663314
64,10,11,3,72.865855
64,10,11,4,72.479740
64,10,11,5,71.154650
64,10,11,6,72.506019
64,10,11,7,72.805132
