k,rep,call_idx,call_time_ms
10,14,9,1205.281591
10,14,10,1219.513871
10,15,1,1218.239390
10,15,2,1222.836437
10,15,3,1205.144327
10,15,4,1222.633631
10,15,5,1215.054773
10,15,6,1207.926400
10,15,7,1215.097012
10,15,8,1230.746635
10,15,9,1219.134290
10,15,10,1219.948363
10,16,1,1210.920276
10,16,2,1207.641973
10,16,3,1205.662773
10,16,4,1200.998168
10,16,5,1203.269419
10,16,6,1202.440660
10,16,7,1209.049686
10,16,8,1198.887827
10,16,9,1215.404612
10,16,10,1205.665390
10,17,1,1208.384759
10,17,2,1209.136911
10,17,3,1226.036003
10,17,4,1202.200811
10,17,5,1226.301983
10,17,6,1222.578240
10,17,7,1203.957541
10,17,8,1216.589466
10,17,9,1216.248272
10,17,10,1212.642599
10,18,1,1208.681696
10,18,2,1215.736382
10,18,3,1219.777154
10,18,4,1216.555327
10,18,5,1220.848980
10,18,6,1213.636902
10,18,7,1218.347289
10,18,8,1226.501353
10,18,9,1213.019700
10,18,10,1209.638454
10,19,1,1205.134332
10,19,2,1205.548089
10,19,3,1215.284462
10,19,4,1201.123013
10,19,5,1197.767848
10,19,6,1214.609525
10,19,7,1226.056589
10,19,8,1207.575257
10,19,9,1209.213799
10,19,10,1216.352826
10,20,1,1209.177927
10,20,2,1213.240154
10,20,3,1214.577168
10,20,4,1215.179177
10,20,5,1221.696527
10,20,6,1218.707251
10,20,7,1217.240731
10,20,8,1212.711905
10,20,9,1214.334546
10,20,10,1218.012724
10,21,1,1210.801708
10,21,2,1223.256896
10,21,3,1218.110979
10,21,4,1215.220989
10,21,5,1215.688983
10,21,6,1217.406589
10,21,7,1222.897869
10,21,8,1216.622307
10,21,9,1220.110962
10,21,10,1210.583176
10,22,1,1210.049719
10,22,2,1213.855027
10,22,3,1210.712398
10,22,4,1209.252502
10,22,5,1223.396785
10,22,6,1213.518298
10,22,7,1229.142880
10,22,8,1213.831325
10,22,9,1204.675183
10,22,10,1216.850265
10,23,1,1234.848830
10,23,2,1218.706880
10,23,3,1215.028371
10,23,4,1224.606587
10,23,5,1213.579926
10,23,6,1205.731479
10,23,7,1214.716043
10,23,8,1206.262752
10,23,9,1206.757438
10,23,10,1214.692800
10,24,1,1206.069450
10,24,2,1205.585285
10,24,3,1225.196204
10,24,4,1210.073503
10,24,5,1202.109731
10,24,6,1210.439188
10,24,7,1210.031678
10,24,8,1202.903642
10,24,9,1201.969568
10,24,10,1221.620711
10,25,1,1243.990388
10,25,2,1205.243787
10,25,3,1204.619643
10,25,4,1220.545622
10,25,5,1221.446358
10,25,6,1205.362495
10,25,7,1280.514119
10,25,8,1216.807956
10,25,9,1219.365716
10,25,10,1206.054230
10,26,1,1229.184881
10,26,2,1202.348978
10,26,3,1204.436926
10,26,4,1219.964593
10,26,5,1206.715776
10,26,6,1206.577339
10,26,7,1204.789652
10,26,8,1221.928332
10,26,9,1200.418897
10,26,10,1222.327468
10,27,1,1238.195759
10,27,2,1204.998440
10,27,3,1208.555805
10,27,4,1221.330611
10,27,5,1209.448517
10,27,6,1206.300250
10,27,7,1203.960138
10,27,8,1209.973610
10,27,9,1217.954457
10,27,10,1213.697831
10,28,1,1209.450134
10,28,2,1207.640415
10,28,3,1208.282789
10,28,4,1207.485772
10,28,5,1211.477657
10,28,6,1201.143762
10,28,7,1202.879568
10,28,8,1221.444151
10,28,9,1208.543288
10,28,10,1207.880459
10,29,1,1224.282890
10,29,2,1209.355861
10,29,3,1208.197575
10,29,4,1214.312620
10,29,5,1205.210572
10,29,6,1207.206915
10,29,7,1214.073971
10,29,8,1203.845233
10,29,9,1200.207064
10,29,10,1206.864580
10,30,1,1241.148545
10,30,2,1220.402012
10,30,3,1204.883533
10,30,4,1221.299602
